title,label,score
1631-37,exhibits,0.9202534556388855
1631-36,exhibits,0.9231113195419312
1631-22,exhibits,0.9145141839981079
1631-7,exhibits,0.923517107963562
1631-5,exhibits,0.8966512084007263
1631-34,exhibits,0.9236370325088501
1631-20,exhibits,0.9319853186607361
1634-6,exhibits,0.9284773468971252
1634-49,exhibits,0.9293628931045532
1634-main,exhibits,0.6719834208488464
1631-21,exhibits,0.9303373098373413
1631-35,exhibits,0.9233248233795166
1631-4,exhibits,0.6920204758644104
1631-31,exhibits,0.9313659071922302
1631-25,exhibits,0.9292882680892944
1631-19,exhibits,0.9336329698562622
1631-18,exhibits,0.9348363280296326
1631-24,exhibits,0.9322240948677063
1631-30,exhibits,0.9307604432106018
1631-1,exhibits,0.9133620262145996
1631-3,exhibits,0.9109174609184265
1631-26,exhibits,0.8913419246673584
1631-32,exhibits,0.9354766607284546
1631-33,exhibits,0.9240447878837585
1634-4,exhibits,0.929964005947113
1634-5,exhibits,0.9232479929924011
1634-48,exhibits,0.9267882704734802
1631-27,exhibits,0.6577019691467285
1631-2,exhibits,0.6355701684951782
1631-40,exhibits,0.9229229092597961
1631-41,exhibits,0.9312304854393005
1631-43,exhibits,0.932693600654602
1631-42,exhibits,0.9238783121109009
1631-46,exhibits,0.9221906065940857
1631-47,exhibits,0.9307379722595215
1631-45,exhibits,0.9335293769836426
1631-50,exhibits,0.9324780702590942
1631-44,exhibits,0.9312901496887207
1631-49,exhibits,0.9306060671806335
1631-48,exhibits,0.9306887984275818
1631-main,exhibits,0.6248807311058044
1631-16,exhibits,0.9318529367446899
1631-17,exhibits,0.934058666229248
1631-29,exhibits,0.9317151308059692
1634-51,exhibits,0.9342217445373535
1633-17,exhibits,0.927551805973053
1632-main,exhibits,0.67960125207901
1632-7,exhibits,0.9256626963615417
1632-11,exhibits,0.933981716632843
1632-39,exhibits,0.9343626499176025
1631-15,exhibits,0.9131114482879639
1631-14,exhibits,0.9321724772453308
1631-28,exhibits,0.9318745732307434
1631-9,exhibits,0.9092539548873901
1631-10,exhibits,0.805241584777832
1631-38,exhibits,0.9286864995956421
1631-39,exhibits,0.9141321778297424
1631-11,exhibits,0.9269136190414429
1631-8,exhibits,0.8944786787033081
1631-13,exhibits,0.9280975461006165
1631-12,exhibits,0.927993893623352
1634-13,exhibits,0.9302414059638977
1634-12,exhibits,0.930421769618988
1634-10,exhibits,0.9300259351730347
1634-38,exhibits,0.9225909113883972
1634-39,exhibits,0.9297342300415039
1634-11,exhibits,0.8309618234634399
1634-29,exhibits,0.9314494729042053
1634-15,exhibits,0.922486424446106
1634-14,exhibits,0.932785153388977
1634-28,exhibits,0.9328020811080933
1634-16,exhibits,0.9279248118400574
1634-17,exhibits,0.9342348575592041
1634-1,exhibits,0.92967289686203
1634-45,exhibits,0.9331147074699402
1634-8,exhibits,0.9231675863265991
1634-9,exhibits,0.9306431412696838
1634-44,exhibits,0.924421489238739
1634-50,exhibits,0.9305201172828674
1634-46,exhibits,0.9302256107330322
1634-52,exhibits,0.9324250817298889
1634-53,exhibits,0.9338530898094177
1634-47,exhibits,0.9331325888633728
1634-43,exhibits,0.9207339286804199
1634-42,exhibits,0.9328949451446533
1634-54,exhibits,0.9323493242263794
1634-40,exhibits,0.9302017688751221
1634-41,exhibits,0.9181943535804749
1634-55,exhibits,0.9338114261627197
1634-32,exhibits,0.9325979948043823
1634-26,exhibits,0.9319207072257996
1634-27,exhibits,0.9310439229011536
1634-33,exhibits,0.9334728717803955
1634-25,exhibits,0.9237423539161682
1634-31,exhibits,0.9316980838775635
1634-19,exhibits,0.9244270920753479
1634-18,exhibits,0.9292094111442566
1634-30,exhibits,0.9272845983505249
1634-24,exhibits,0.9251380562782288
1634-20,exhibits,0.929389238357544
1634-34,exhibits,0.9332451224327087
1634-35,exhibits,0.9324297308921814
1634-21,exhibits,0.9297903180122375
1634-37,exhibits,0.9151374101638794
1634-23,exhibits,0.922939658164978
1634-22,exhibits,0.9301766157150269
1634-36,exhibits,0.9327179789543152
1633-26,exhibits,0.9302531480789185
1633-32,exhibits,0.9330787062644958
1633-4,exhibits,0.9307262897491455
1633-5,exhibits,0.9251143932342529
1633-33,exhibits,0.9306915998458862
1633-27,exhibits,0.9320448637008667
1633-main,exhibits,0.6245990991592407
1633-19,exhibits,0.9260588884353638
1633-31,exhibits,0.9319685697555542
1633-25,exhibits,0.9309451580047607
1633-7,exhibits,0.9281734824180603
1633-6,exhibits,0.9247766137123108
1633-24,exhibits,0.9207115173339844
1633-30,exhibits,0.9305710196495056
1633-18,exhibits,0.90656578540802
1633-34,exhibits,0.9258990287780762
1633-20,exhibits,0.9294077754020691
1633-2,exhibits,0.923492431640625
1633-8,exhibits,0.9243544340133667
1633-3,exhibits,0.9278210401535034
1633-21,exhibits,0.9309196472167969
1633-35,exhibits,0.9228799939155579
1633-23,exhibits,0.9324826002120972
1633-37,exhibits,0.9267963767051697
1633-1,exhibits,0.9250011444091797
1633-36,exhibits,0.9327858090400696
